section,item,value,low,central,high,unit,basis,evidence,note
monthly_trend,2025|03,524,,,,views,gmb-monthly-metrics.csv,observed,actions=103; action_rate=19.7%; website=44 (8.40% of views); directions=56 (10.69%); phone=3
monthly_trend,2025|04,621,,,,views,gmb-monthly-metrics.csv,observed,actions=130; action_rate=20.9%; website=58 (9.34% of views); directions=68 (10.95%); phone=4
monthly_trend,2025|05,667,,,,views,gmb-monthly-metrics.csv,observed,actions=112; action_rate=16.8%; website=34 (5.10% of views); directions=72 (10.79%); phone=6
monthly_trend,2025|06,603,,,,views,gmb-monthly-metrics.csv,observed,actions=119; action_rate=19.7%; website=33 (5.47% of views); directions=83 (13.76%); phone=3
monthly_trend,2025|07,598,,,,views,gmb-monthly-metrics.csv,observed,actions=101; action_rate=16.9%; website=52 (8.70% of views); directions=43 (7.19%); phone=6
monthly_trend,2025|08,616,,,,views,gmb-monthly-metrics.csv,observed,actions=100; action_rate=16.2%; website=52 (8.44% of views); directions=43 (6.98%); phone=5
monthly_trend,2025|09,558,,,,views,gmb-monthly-metrics.csv,observed,actions=99; action_rate=17.7%; website=34 (6.09% of views); directions=60 (10.75%); phone=5
monthly_trend,2025|10,765,,,,views,gmb-monthly-metrics.csv,observed,actions=109; action_rate=14.2%; website=40 (5.23% of views); directions=63 (8.24%); phone=6
monthly_trend,2025|11,622,,,,views,gmb-monthly-metrics.csv,observed,actions=83; action_rate=13.3%; website=27 (4.34% of views); directions=52 (8.36%); phone=4
monthly_trend,2025|12,519,,,,views,gmb-monthly-metrics.csv,observed,actions=73; action_rate=14.1%; website=18 (3.47% of views); directions=52 (10.02%); phone=3
monthly_trend,2026|01,602,,,,views,gmb-monthly-metrics.csv,observed,actions=90; action_rate=15.0%; website=44 (7.31% of views); directions=41 (6.81%); phone=5
monthly_trend,2026|02,497,,,,views,gmb-monthly-metrics.csv,observed,actions=104; action_rate=20.9%; website=35 (7.04% of views); directions=67 (13.48%); phone=2
monthly_trend,2026|03,594,,,,views,gmb-monthly-metrics.csv,observed,actions=69; action_rate=11.6%; website=48 (8.08% of views); directions=18 (3.03%); phone=3
monthly_trend,2026|04,610,,,,views,gmb-monthly-metrics.csv,observed,actions=89; action_rate=14.6%; website=41 (6.72% of views); directions=42 (6.89%); phone=6
monthly_trend,2026|05,607,,,,views,gmb-monthly-metrics.csv,observed,actions=95; action_rate=15.7%; website=43 (7.08% of views); directions=52 (8.57%); phone=0
monthly_trend,2026|06,520,,,,views,gmb-monthly-metrics.csv,observed,actions=73; action_rate=14.0%; website=22 (4.23% of views); directions=50 (9.62%); phone=1
monthly_trend,2026|07,596,,,,views,gmb-monthly-metrics.csv,observed,actions=104; action_rate=17.4%; website=40 (6.71% of views); directions=57 (9.56%); phone=7
monthly_trend,2026|08,567,,,,views,gmb-monthly-metrics.csv,observed,actions=115; action_rate=20.3%; website=46 (8.11% of views); directions=62 (10.93%); phone=7
monthly_trend,2026|09,81,,,,views,"partial month; views through 09-04 only, all action metrics reporting-lagged to 0",observed,EXCLUDED from every calculation in this file
yoy_mar08_to_aug31,profile views,3629 -> 3346,,,,count,matched calendar window 2025-03-08..08-31 vs 2026-03-08..08-31,observed,change -7.8%. Window stops 08-31 because Sept 2026 actions are reporting-lagged zeros; a window ending 09-08 overstates the decline.
yoy_mar08_to_aug31,total actions,665 -> 536,,,,count,matched calendar window 2025-03-08..08-31 vs 2026-03-08..08-31,observed,change -19.4%. Window stops 08-31 because Sept 2026 actions are reporting-lagged zeros; a window ending 09-08 overstates the decline.
yoy_mar08_to_aug31,website clicks,273 -> 231,,,,count,matched calendar window 2025-03-08..08-31 vs 2026-03-08..08-31,observed,change -15.4%. Window stops 08-31 because Sept 2026 actions are reporting-lagged zeros; a window ending 09-08 overstates the decline.
yoy_mar08_to_aug31,direction requests,365 -> 281,,,,count,matched calendar window 2025-03-08..08-31 vs 2026-03-08..08-31,observed,change -23.0%. Window stops 08-31 because Sept 2026 actions are reporting-lagged zeros; a window ending 09-08 overstates the decline.
yoy_mar08_to_aug31,phone calls,27 -> 24,,,,count,matched calendar window 2025-03-08..08-31 vs 2026-03-08..08-31,observed,change -11.1%. Window stops 08-31 because Sept 2026 actions are reporting-lagged zeros; a window ending 09-08 overstates the decline.
yoy_mar08_to_aug31,action rate (actions/views),18.3% -> 16.0%,,,,pct,same windows,observed,"actions fell 2.5x faster than views, so the profile converts its impressions worse than a year ago; but 2026 recovered to 17.4% and 20.3% in Jul/Aug, back to 2025 levels"
directions_test,weekday share of series,views 79.8% | website 82.0% | directions 74.0%,,,,pct,"Mon-Fri share, 542 days 2025-03-08..2026-08-31","observed, weak inference","clinic hours are M-F 09:00-17:00. If directions were mostly patients navigating to appointments they should be the MOST weekday-loaded series; they are the least. Leans against the existing-patient story, does not settle it."
directions_test,"directions per view, ads dark vs ads running",8.14% vs 9.16%,,,,pct,6 ad-dark months 2025-10..2026-03 vs 8 ads-running months,observed,a complete 7-month halt in paid acquisition barely moved directions. Shows GBP is decoupled from paid search; does not separate patients from prospects.
directions_test,"corr(monthly directions, patient-portal outbound clicks)",r=-0.26,,,,pearson r,n=18 months; phr.charmtracker.com clicks as existing-patient proxy,not significant (p~0.30),corr with Fullscript r=-0.23. Both indistinguishable from zero at n=18. The existing-patient hypothesis is NOT confirmed by this data.
directions_test,VERDICT,not testable,,,,,,,"No key links a GBP directions request to Acuity, GA4 or anything else. Three weak signals were run; none supports the existing-patient story and none refutes it. The decision does not depend on it: a directions request never lands anyone on a scheduling page, so it is not addressable by a booking link or a site change either way."
